held_out_site,n_test,slope_on_train,intercept_on_train,site_r2
CALTECH,21,-0.0002496581427554144,0.1199157645778551,-0.9509387781351688
CMU,23,-0.0002843797587566205,0.11816391221465805,-2.869101828382115
KKI,48,-0.00022469545379184328,0.11205807566630818,-0.24007199871546714
LEUVEN_1,28,-0.0003270497853279563,0.12602097589530095,-0.14649507538964235
MAX_MUN,50,-0.00024510885889137654,0.11485840684593505,-0.10967506336430821
NYU,174,-0.0005449177521969596,0.16088327515448025,-0.4407634393111217
OHSU,24,-0.000301131787543542,0.12133554367203926,-0.058322788889100696
OLIN,32,-0.0002776004791274264,0.11856380095082206,-0.31634281517545726
PITT,54,-0.00023479388290645106,0.11243257118755777,-0.4246696414342015
SBL,5,-0.00028157089189131653,0.11780778384279986,-3.7837451041081245
SDSU,33,-0.000212017853198346,0.11202602626158875,0.018396918654619454
STANFORD,37,-0.00024392867035690616,0.1147373624245465,-0.046071187043945416
TRINITY,47,-0.0002779511190453281,0.1186934017534966,-0.03759812444449362
UCLA_1,72,-0.00021386660877519196,0.11140052737483527,-0.13707618602309402
UCLA_2,26,-0.0002362303122698335,0.11428449992124981,-0.18756910447285802
UM_1,101,-0.0002234294321744794,0.11232133450214267,-0.13255897057755384
UM_2,34,-0.00027889590895098575,0.11916433709298938,-0.007460314465059792
USM,71,-0.00023857067006658182,0.1139174107741189,-0.1216113732433095
YALE,55,-0.00024297365268205354,0.11430033373850515,-0.06649195646656358
